# airline,from,to,codeshare,stops,latfrom,longfrom,latto,longto,distance,Band_BA,Band_BA_gen,BA_pct
AA,CLT,GPT,*,0,35.2140007019043,-80.94309997558594,30.40730094909668,-89.070098876953125,577.3790245121096,1,1,89
AA,CLT,GRR,*,0,35.2140007019043,-80.94309997558594,42.88079834,-85.52279663,584.3638238984939,1,1,90
AA,CLT,GSO,*,0,35.2140007019043,-80.94309997558594,36.097801208496094,-79.93730163574219,83.2623988628296,1,1,13
AA,CLT,GSP,*,0,35.2140007019043,-80.94309997558594,34.8956985474,-82.2189025879,75.52018978972099,1,1,12
AA,CLT,HHH,*,0,35.2140007019043,-80.94309997558594,32.2243995667,-80.6975021362,207.27477575752016,1,1,32
AA,CLT,HPN,*,0,35.2140007019043,-80.94309997558594,41.06700134277344,-73.70760345458984,564.2609870499214,1,1,87
AA,CLT,HSV,*,0,35.2140007019043,-80.94309997558594,34.637199401855,-86.775100708008,333.09687374443064,1,1,51
AA,CLT,HTS,*,0,35.2140007019043,-80.94309997558594,38.36669922,-82.55799866,235.69723751771832,1,1,36
AA,CLT,IAD,NA,0,35.2140007019043,-80.94309997558594,38.94449997,-77.45580292,321.8394904970476,1,1,49
AA,CLT,IAD,*,0,35.2140007019043,-80.94309997558594,38.94449997,-77.45580292,321.8394904970476,1,1,49
AA,CLT,IAH,NA,0,35.2140007019043,-80.94309997558594,29.984399795532227,-95.341400146484375,912.5081472466799,2,2,52
AA,CLT,ILM,NA,0,35.2140007019043,-80.94309997558594,34.270599365234375,-77.90260314941406,184.71852441764247,1,1,28.000000000000004
AA,CLT,ILM,*,0,35.2140007019043,-80.94309997558594,34.270599365234375,-77.90260314941406,184.71852441764247,1,1,28.000000000000004
AA,CLT,IND,NA,0,35.2140007019043,-80.94309997558594,39.7173,-86.294403,428.0197710795057,1,1,66
AA,CLT,IND,*,0,35.2140007019043,-80.94309997558594,39.7173,-86.294403,428.0197710795057,1,1,66
AA,CLT,ITH,*,0,35.2140007019043,-80.94309997558594,42.49100112915039,-76.4583969116211,558.1078449622996,1,1,86
AA,CLT,JAN,*,0,35.2140007019043,-80.94309997558594,32.3111991882,-90.0758972168,561.9714112917022,1,1,86
AA,CLT,JAX,NA,0,35.2140007019043,-80.94309997558594,30.49410057067871,-81.687896728515625,329.33117881553085,1,1,51
AA,CLT,JAX,*,0,35.2140007019043,-80.94309997558594,30.49410057067871,-81.687896728515625,329.33117881553085,1,1,51
AA,CLT,JFK,NA,0,35.2140007019043,-80.94309997558594,40.63980103,-73.77890015,541.5275548172663,1,1,83
AA,CLT,LAS,NA,0,35.2140007019043,-80.94309997558594,36.08010101,-115.1520004,1913.8438962590617,3,3,90
AA,CLT,LAX,NA,0,35.2140007019043,-80.94309997558594,33.94250107,-118.4079971,2122.8251653096704,4,4,12
AA,CLT,LEX,*,0,35.2140007019043,-80.94309997558594,38.0364990234375,-84.60590362548828,281.84029345707063,1,1,43
AA,CLT,LGA,NA,0,35.2140007019043,-80.94309997558594,40.77719879,-73.87259674,544.2637866196256,1,1,84
AA,CLT,LHR,NA,0,35.2140007019043,-80.94309997558594,51.4706,-0.461941,3986.918032030513,5,5,99
AA,CLT,LIR,NA,0,35.2140007019043,-80.94309997558594,10.5933,-85.544403,1727.488920782497,3,3,68
AA,CLT,LIT,*,0,35.2140007019043,-80.94309997558594,34.729400634799994,-92.2242965698,639.9621388111696,1,1,98
AA,CLT,LYH,*,0,35.2140007019043,-80.94309997558594,37.326698303222656,-79.20040130615234,175.49391798215038,1,1,27
AA,CLT,MBJ,NA,0,35.2140007019043,-80.94309997558594,18.503700256347656,-77.91339874267578,1170.6971106885183,3,2,2
AA,CLT,MCI,NA,0,35.2140007019043,-80.94309997558594,39.2976,-94.713898,808.0304699625664,2,2,31
AA,CLT,MCO,NA,0,35.2140007019043,-80.94309997558594,28.429399490356445,-81.30899810791016,469.7868915571494,1,1,72
AA,CLT,MDT,NA,0,35.2140007019043,-80.94309997558594,40.1935005188,-76.7633972168,413.349429831008,1,1,63
AA,CLT,MDT,*,0,35.2140007019043,-80.94309997558594,40.1935005188,-76.7633972168,413.349429831008,1,1,63
AA,CLT,MEM,NA,0,35.2140007019043,-80.94309997558594,35.04240036010742,-89.97669982910156,511.01437058640596,1,1,78
AA,CLT,MEM,*,0,35.2140007019043,-80.94309997558594,35.04240036010742,-89.97669982910156,511.01437058640596,1,1,78
AA,CLT,MEX,NA,0,35.2140007019043,-80.94309997558594,19.4363,-99.072098,1554.286572814445,3,3,47
AA,CLT,MGM,*,0,35.2140007019043,-80.94309997558594,32.30059814,-86.39399719,372.5637892402139,1,1,56.99999999999999
AA,CLT,MHH,*,0,35.2140007019043,-80.94309997558594,26.5114,-77.083503,643.9449473730629,1,1,99
AA,CLT,MHT,*,0,35.2140007019043,-80.94309997558594,42.932598,-71.435699,737.7639253166764,2,2,17
AA,CLT,MIA,NA,0,35.2140007019043,-80.94309997558594,25.79319953918457,-80.29060363769531,652.7973930563098,2,1,0
AA,CLT,MKE,*,0,35.2140007019043,-80.94309997558594,42.947200775146484,-87.89659881591797,651.7909134273331,2,1,0
AA,CLT,MLB,NA,0,35.2140007019043,-80.94309997558594,28.102800369262695,-80.64530181884766,492.19828740779883,1,1,76
AA,CLT,MLB,*,0,35.2140007019043,-80.94309997558594,28.102800369262695,-80.64530181884766,492.19828740779883,1,1,76
AA,CLT,MOB,*,0,35.2140007019043,-80.94309997558594,30.691200256348,-88.242797851562,526.4080537811385,1,1,81
AA,CLT,MSN,*,0,35.2140007019043,-80.94309997558594,43.13990020751953,-89.3375015258789,708.5614324156353,2,2,11
AA,CLT,MSP,NA,0,35.2140007019043,-80.94309997558594,44.882,-93.221802,930.6578797634919,2,2,56.00000000000001
AA,CLT,MSY,NA,0,35.2140007019043,-80.94309997558594,29.99340057373047,-90.25800323486328,651.4406800064551,2,1,0
AA,CLT,MSY,*,0,35.2140007019043,-80.94309997558594,29.99340057373047,-90.25800323486328,651.4406800064551,2,1,0
AA,CLT,MUC,NA,0,35.2140007019043,-80.94309997558594,48.353802,11.7861,4572.606872252068,6,6,38
AA,CLT,MYR,NA,0,35.2140007019043,-80.94309997558594,33.6796989441,-78.9282989502,156.426811879289,1,1,24
AA,CLT,MYR,*,0,35.2140007019043,-80.94309997558594,33.6796989441,-78.9282989502,156.426811879289,1,1,24
AA,CLT,NAS,NA,0,35.2140007019043,-80.94309997558594,25.0389995575,-77.46620178219999,733.7494690232729,2,2,17
AA,CLT,OAJ,*,0,35.2140007019043,-80.94309997558594,34.8292007446,-77.61209869380001,190.54762348935412,1,1,28.999999999999996
AA,CLT,OKC,*,0,35.2140007019043,-80.94309997558594,35.39310073852539,-97.60070037841797,939.2959347715862,2,2,57.99999999999999
AA,CLT,OMA,*,0,35.2140007019043,-80.94309997558594,41.3032,-95.894096,913.0275358741557,2,2,52
AA,CLT,ORD,NA,0,35.2140007019043,-80.94309997558594,41.9786,-87.9048,600.0326201721115,1,1,92
AA,CLT,ORF,NA,0,35.2140007019043,-80.94309997558594,36.89459991455078,-76.201202392578125,289.490071970611,1,1,44
AA,CLT,ORF,*,0,35.2140007019043,-80.94309997558594,36.89459991455078,-76.201202392578125,289.490071970611,1,1,44
AA,CLT,PBI,NA,0,35.2140007019043,-80.94309997558594,26.68320083618164,-80.09559631347656,592.2111909064847,1,1,91
AA,CLT,PDX,NA,0,35.2140007019043,-80.94309997558594,45.58869934,-122.5979996,2279.560892082444,4,4,28.000000000000004
AA,CLT,PGV,*,0,35.2140007019043,-80.94309997558594,35.6352005,-77.38529968,202.63156434889083,1,1,31
AA,CLT,PHF,*,0,35.2140007019043,-80.94309997558594,37.13190079,-76.49299622,281.63218553660477,1,1,43
AA,CLT,PHL,NA,0,35.2140007019043,-80.94309997558594,39.87189865112305,-75.24109649658203,448.804747509812,1,1,69
AA,CLT,PHX,NA,0,35.2140007019043,-80.94309997558594,33.43429946899414,-112.01200103759766,1771.8851155532031,3,3,73
AA,CLT,PIA,*,0,35.2140007019043,-80.94309997558594,40.664199829100006,-89.6932983398,607.7251741222652,1,1,93
AA,CLT,PIT,NA,0,35.2140007019043,-80.94309997558594,40.49150085,-80.23290253,367.0992599867461,1,1,56.00000000000001
AA,CLT,PIT,*,0,35.2140007019043,-80.94309997558594,40.49150085,-80.23290253,367.0992599867461,1,1,56.00000000000001
AA,CLT,PLS,NA,0,35.2140007019043,-80.94309997558594,21.77359962463379,-72.265899658203125,1067.7250073676953,2,2,83
AA,CLT,PNS,*,0,35.2140007019043,-80.94309997558594,30.473400115967,-87.186599731445,488.84251149690704,1,1,75
AA,CLT,PUJ,NA,0,35.2140007019043,-80.94309997558594,18.567399978599997,-68.36340332030001,1385.6702768013722,3,3,28.000000000000004
AA,CLT,PVD,NA,0,35.2140007019043,-80.94309997558594,41.732601,-71.420403,684.2321381505933,2,2,7.000000000000001
AA,CLT,PVD,*,0,35.2140007019043,-80.94309997558594,41.732601,-71.420403,684.2321381505933,2,2,7.000000000000001
AA,CLT,PWM,NA,0,35.2140007019043,-80.94309997558594,43.64619827,-70.30930328,812.9154235173586,2,2,32
AA,CLT,PWM,*,0,35.2140007019043,-80.94309997558594,43.64619827,-70.30930328,812.9154235173586,2,2,32
AA,CLT,RDU,NA,0,35.2140007019043,-80.94309997558594,35.877601623535156,-78.7874984741211,129.7084183030743,1,1,20
AA,CLT,RIC,NA,0,35.2140007019043,-80.94309997558594,37.50519943237305,-77.3197021484375,256.58637341995785,1,1,39
AA,CLT,RIC,*,0,35.2140007019043,-80.94309997558594,37.50519943237305,-77.3197021484375,256.58637341995785,1,1,39
AA,CLT,ROA,*,0,35.2140007019043,-80.94309997558594,37.3255,-79.975403,155.702465306202,1,1,24
AA,CLT,ROC,NA,0,35.2140007019043,-80.94309997558594,43.118900299072266,-77.67240142822266,574.102580337352,1,1,88
